TEST LOG PRINT
SOO
Step 11, Validation Loss= 0.8186, Loss= 0.7649
Step 12, Validation Loss= 0.8071, Loss= 0.7035
Step 13, Validation Loss= 0.7912, Loss= 0.6479
Step 14, Validation Loss= 0.7760, Loss= 0.6401
Step 15, Validation Loss= 0.7598, Loss= 0.6136
Step 16, Validation Loss= 0.7445, Loss= 0.6072
Step 17, Validation Loss= 0.7302, Loss= 0.6014
Step 18, Validation Loss= 0.7146, Loss= 0.5735
Step 19, Validation Loss= 0.6991, Loss= 0.5596
Step 20, Validation Loss= 0.6813, Loss= 0.5219
Step 21, Validation Loss= 0.6632, Loss= 0.5002
Step 22, Validation Loss= 0.6443, Loss= 0.4741
Step 23, Validation Loss= 0.6246, Loss= 0.4476
Step 24, Validation Loss= 0.6055, Loss= 0.4331
Step 25, Validation Loss= 0.5863, Loss= 0.4141
Step 26, Validation Loss= 0.5676, Loss= 0.3992
Step 27, Validation Loss= 0.5497, Loss= 0.3883
Step 28, Validation Loss= 0.5320, Loss= 0.3727
Step 29, Validation Loss= 0.5149, Loss= 0.3610
Step 30, Validation Loss= 0.4981, Loss= 0.3473
Step 31, Validation Loss= 0.4814, Loss= 0.3303
Step 32, Validation Loss= 0.4649, Loss= 0.3173
Step 33, Validation Loss= 0.4486, Loss= 0.3012
Step 34, Validation Loss= 0.4323, Loss= 0.2854
Step 35, Validation Loss= 0.4161, Loss= 0.2708
Step 36, Validation Loss= 0.4000, Loss= 0.2551
Step 37, Validation Loss= 0.3843, Loss= 0.2426
Step 38, Validation Loss= 0.3688, Loss= 0.2295
Step 39, Validation Loss= 0.3536, Loss= 0.2170
Step 40, Validation Loss= 0.3393, Loss= 0.2110
Step 41, Validation Loss= 0.3253, Loss= 0.1984
Step 42, Validation Loss= 0.3114, Loss= 0.1868
Step 43, Validation Loss= 0.2976, Loss= 0.1729
Step 44, Validation Loss= 0.2839, Loss= 0.1606
Step 45, Validation Loss= 0.2702, Loss= 0.1476
Step 46, Validation Loss= 0.2568, Loss= 0.1355
Step 47, Validation Loss= 0.2436, Loss= 0.1251
Step 48, Validation Loss= 0.2307, Loss= 0.1150
Step 49, Validation Loss= 0.2182, Loss= 0.1056
Step 50, Validation Loss= 0.2098, Loss= 0.1337
Step 51, Validation Loss= 0.2015, Loss= 0.1272
Step 52, Validation Loss= 0.1939, Loss= 0.1250
Step 53, Validation Loss= 0.1860, Loss= 0.1152
Step 54, Validation Loss= 0.1784, Loss= 0.1104
Step 55, Validation Loss= 0.1710, Loss= 0.1036
Step 56, Validation Loss= 0.1642, Loss= 0.1035
Step 57, Validation Loss= 0.1574, Loss= 0.0959
Step 58, Validation Loss= 0.1499, Loss= 0.0829
Step 59, Validation Loss= 0.1434, Loss= 0.0844
Step 60, Validation Loss= 0.1369, Loss= 0.0784
Step 61, Validation Loss= 0.1302, Loss= 0.0697
Step 62, Validation Loss= 0.1241, Loss= 0.0696
Step 63, Validation Loss= 0.1182, Loss= 0.0647
Step 64, Validation Loss= 0.1120, Loss= 0.0566
Step 65, Validation Loss= 0.1060, Loss= 0.0518
Step 66, Validation Loss= 0.1003, Loss= 0.0493
Step 67, Validation Loss= 0.0946, Loss= 0.0430
Step 68, Validation Loss= 0.0888, Loss= 0.0365
Step 69, Validation Loss= 0.0834, Loss= 0.0347
Step 70, Validation Loss= 0.0781, Loss= 0.0312
Step 71, Validation Loss= 0.0728, Loss= 0.0248
Step 72, Validation Loss= 0.0677, Loss= 0.0215
Step 73, Validation Loss= 0.0630, Loss= 0.0211
Step 74, Validation Loss= 0.0584, Loss= 0.0169
Step 75, Validation Loss= 0.0541, Loss= 0.0149
Step 76, Validation Loss= 0.0501, Loss= 0.0141
Step 77, Validation Loss= 0.0462, Loss= 0.0117
Step 78, Validation Loss= 0.0426, Loss= 0.0101
Step 79, Validation Loss= 0.0392, Loss= 0.0090
Step 80, Validation Loss= 0.0362, Loss= 0.0086
Step 81, Validation Loss= 0.0333, Loss= 0.0072
Step 82, Validation Loss= 0.0306, Loss= 0.0063
